Year,Month,Anomaly
1901,01,-0.176
1901,02,-0.272
1901,03,-0.236
1901,04,-0.187
1901,05,-0.196
1901,06,-0.146
1901,07,-0.188
1901,08,-0.196
1901,09,-0.343
1901,10,-0.298
1901,11,-0.442
1901,12,-0.428
1902,01,-0.232
1902,02,-0.260
1902,03,-0.398
1902,04,-0.451
1902,05,-0.401
1902,06,-0.424
1902,07,-0.391
1902,08,-0.368
1902,09,-0.361
1902,10,-0.477
1902,11,-0.538
1902,12,-0.526
1903,01,-0.269
1903,02,-0.181
1903,03,-0.358
1903,04,-0.473
1903,05,-0.463
1903,06,-0.537
1903,07,-0.485
1903,08,-0.587
1903,09,-0.518
1903,10,-0.653
1903,11,-0.634
1903,12,-0.604
1904,01,-0.644
1904,02,-0.590
1904,03,-0.661
1904,04,-0.553
1904,05,-0.527
1904,06,-0.522
1904,07,-0.522
1904,08,-0.477
1904,09,-0.478
1904,10,-0.473
1904,11,-0.387
1904,12,-0.407
1905,01,-0.460
1905,02,-0.703
1905,03,-0.462
1905,04,-0.555
1905,05,-0.344
1905,06,-0.314
1905,07,-0.297
1905,08,-0.301
1905,09,-0.313
1905,10,-0.363
1905,11,-0.218
1905,12,-0.199
1906,01,-0.075
1906,02,-0.225
1906,03,-0.284
1906,04,-0.115
1906,05,-0.329
1906,06,-0.287
1906,07,-0.315
1906,08,-0.319
1906,09,-0.385
1906,10,-0.351
1906,11,-0.427
1906,12,-0.283
1907,01,-0.431
1907,02,-0.512
1907,03,-0.338
1907,04,-0.507
1907,05,-0.555
1907,06,-0.524
1907,07,-0.402
1907,08,-0.452
1907,09,-0.405
1907,10,-0.359
1907,11,-0.581
1907,12,-0.525
1908,01,-0.412
1908,02,-0.413
1908,03,-0.636
1908,04,-0.550
1908,05,-0.474
1908,06,-0.472
1908,07,-0.469
1908,08,-0.532
1908,09,-0.454
1908,10,-0.579
1908,11,-0.596
1908,12,-0.568
1909,01,-0.579
1909,02,-0.531
1909,03,-0.690
1909,04,-0.604
1909,05,-0.586
1909,06,-0.512
1909,07,-0.573
1909,08,-0.317
1909,09,-0.398
1909,10,-0.481
1909,11,-0.420
1909,12,-0.591
1910,01,-0.352
1910,02,-0.514
1910,03,-0.487
1910,04,-0.450
1910,05,-0.466
1910,06,-0.482
1910,07,-0.466
1910,08,-0.436
1910,09,-0.441
1910,10,-0.482
1910,11,-0.652
1910,12,-0.666
1911,01,-0.554
1911,02,-0.753
1911,03,-0.701
1911,04,-0.717
1911,05,-0.600
1911,06,-0.567
1911,07,-0.510
1911,08,-0.500
1911,09,-0.511
1911,10,-0.465
1911,11,-0.374
1911,12,-0.293
1912,01,-0.361
1912,02,-0.288
1912,03,-0.385
1912,04,-0.342
1912,05,-0.375
1912,06,-0.312
1912,07,-0.453
1912,08,-0.559
1912,09,-0.557
1912,10,-0.641
1912,11,-0.518
1912,12,-0.484
1913,01,-0.451
1913,02,-0.508
1913,03,-0.537
1913,04,-0.431
1913,05,-0.513
1913,06,-0.505
1913,07,-0.431
1913,08,-0.390
1913,09,-0.426
1913,10,-0.425
1913,11,-0.264
1913,12,-0.232
1914,01,-0.079
1914,02,-0.211
1914,03,-0.326
1914,04,-0.390
1914,05,-0.282
1914,06,-0.281
1914,07,-0.328
1914,08,-0.214
1914,09,-0.255
1914,10,-0.146
1914,11,-0.183
1914,12,-0.249
1915,01,-0.111
1915,02,-0.044
1915,03,-0.187
1915,04,-0.046
1915,05,-0.196
1915,06,-0.215
1915,07,-0.100
1915,08,-0.065
1915,09,-0.128
1915,10,-0.255
1915,11,-0.138
1915,12,-0.253
1916,01,-0.235
1916,02,-0.181
1916,03,-0.406
1916,04,-0.339
1916,05,-0.351
1916,06,-0.472
1916,07,-0.378
1916,08,-0.342
1916,09,-0.335
1916,10,-0.395
1916,11,-0.572
1916,12,-0.629
1917,01,-0.680
1917,02,-0.765
1917,03,-0.832
1917,04,-0.477
1917,05,-0.662
1917,06,-0.357
1917,07,-0.122
1917,08,-0.226
1917,09,-0.125
1917,10,-0.385
1917,11,-0.386
1917,12,-0.635
1918,01,-0.501
1918,02,-0.514
1918,03,-0.445
1918,04,-0.490
1918,05,-0.426
1918,06,-0.329
1918,07,-0.336
1918,08,-0.358
1918,09,-0.243
1918,10,-0.095
1918,11,-0.050
1918,12,-0.232
1919,01,-0.106
1919,02,-0.085
1919,03,-0.306
1919,04,-0.072
1919,05,-0.255
1919,06,-0.252
1919,07,-0.362
1919,08,-0.336
1919,09,-0.239
1919,10,-0.296
1919,11,-0.532
1919,12,-0.460
1920,01,-0.239
1920,02,-0.427
1920,03,-0.119
1920,04,-0.264
1920,05,-0.200
1920,06,-0.211
1920,07,-0.285
1920,08,-0.233
1920,09,-0.139
1920,10,-0.233
1920,11,-0.289
1920,12,-0.358
1921,01,-0.141
1921,02,-0.183
1921,03,-0.249
1921,04,-0.220
1921,05,-0.203
1921,06,-0.121
1921,07,-0.140
1921,08,-0.283
1921,09,-0.165
1921,10,-0.142
1921,11,-0.301
1921,12,-0.147
1922,01,-0.387
1922,02,-0.275
1922,03,-0.267
1922,04,-0.235
1922,05,-0.371
1922,06,-0.324
1922,07,-0.229
1922,08,-0.348
1922,09,-0.282
1922,10,-0.330
1922,11,-0.292
1922,12,-0.308
1923,01,-0.237
1923,02,-0.419
1923,03,-0.412
1923,04,-0.360
1923,05,-0.319
1923,06,-0.243
1923,07,-0.352
1923,08,-0.377
1923,09,-0.327
1923,10,-0.270
1923,11,-0.021
1923,12,-0.014
1924,01,-0.315
1924,02,-0.204
1924,03,-0.271
1924,04,-0.283
1924,05,-0.245
1924,06,-0.214
1924,07,-0.263
1924,08,-0.284
1924,09,-0.284
1924,10,-0.316
1924,11,-0.361
1924,12,-0.530
1925,01,-0.403
1925,02,-0.308
1925,03,-0.230
1925,04,-0.273
1925,05,-0.256
1925,06,-0.257
1925,07,-0.214
1925,08,-0.128
1925,09,-0.191
1925,10,-0.309
1925,11,-0.063
1925,12,0.001
1926,01,0.086
1926,02,-0.042
1926,03,-0.028
1926,04,-0.176
1926,05,-0.217
1926,06,-0.087
1926,07,-0.239
1926,08,-0.090
1926,09,-0.097
1926,10,-0.088
1926,11,-0.109
1926,12,-0.244
1927,01,-0.261
1927,02,-0.146
1927,03,-0.333
1927,04,-0.258
1927,05,-0.257
1927,06,-0.236
1927,07,-0.147
1927,08,-0.145
1927,09,-0.134
1927,10,-0.038
1927,11,-0.173
1927,12,-0.422
1928,01,-0.054
1928,02,-0.133
1928,03,-0.344
1928,04,-0.251
1928,05,-0.281
1928,06,-0.337
1928,07,-0.166
1928,08,-0.176
1928,09,-0.221
1928,10,-0.161
1928,11,-0.153
1928,12,-0.240
1929,01,-0.487
1929,02,-0.670
1929,03,-0.409
1929,04,-0.389
1929,05,-0.391
1929,06,-0.351
1929,07,-0.358
1929,08,-0.185
1929,09,-0.265
1929,10,-0.176
1929,11,-0.072
1929,12,-0.488
1930,01,-0.327
1930,02,-0.287
1930,03,-0.150
1930,04,-0.201
1930,05,-0.201
1930,06,-0.165
1930,07,-0.122
1930,08,-0.056
1930,09,-0.079
1930,10,-0.089
1930,11,0.078
1930,12,-0.079
1931,01,-0.007
1931,02,-0.162
1931,03,-0.123
1931,04,-0.182
1931,05,-0.166
1931,06,-0.040
1931,07,0.002
1931,08,-0.054
1931,09,-0.050
1931,10,-0.046
1931,11,-0.153
1931,12,-0.105
1932,01,0.157
1932,02,-0.196
1932,03,-0.243
1932,04,-0.069
1932,05,-0.169
1932,06,-0.191
1932,07,-0.128
1932,08,-0.197
1932,09,-0.039
1932,10,-0.176
1932,11,-0.235
1932,12,-0.194
1933,01,-0.295
1933,02,-0.324
1933,03,-0.348
1933,04,-0.222
1933,05,-0.213
1933,06,-0.261
1933,07,-0.185
1933,08,-0.179
1933,09,-0.235
1933,10,-0.204
1933,11,-0.316
1933,12,-0.531
1934,01,-0.225
1934,02,-0.165
1934,03,-0.396
1934,04,-0.250
1934,05,-0.082
1934,06,-0.043
1934,07,-0.068
1934,08,-0.058
1934,09,-0.101
1934,10,-0.091
1934,11,0.022
1934,12,-0.142
1935,01,-0.233
1935,02,0.101
1935,03,-0.230
1935,04,-0.273
1935,05,-0.245
1935,06,-0.188
1935,07,-0.142
1935,08,-0.154
1935,09,-0.141
1935,10,-0.075
1935,11,-0.308
1935,12,-0.274
1936,01,-0.310
1936,02,-0.365
1936,03,-0.310
1936,04,-0.213
1936,05,-0.160
1936,06,-0.161
1936,07,-0.021
1936,08,-0.045
1936,09,-0.108
1936,10,-0.006
1936,11,-0.071
1936,12,-0.014
1937,01,-0.134
1937,02,0.039
1937,03,-0.279
1937,04,-0.135
1937,05,-0.083
1937,06,-0.006
1937,07,0.055
1937,08,0.085
1937,09,0.115
1937,10,0.120
1937,11,0.002
1937,12,-0.113
1938,01,0.013
1938,02,0.017
1938,03,0.057
1938,04,0.077
1938,05,-0.092
1938,06,-0.059
1938,07,-0.044
1938,08,0.015
1938,09,0.056
1938,10,0.141
1938,11,0.021
1938,12,-0.296
1939,01,-0.068
1939,02,-0.045
1939,03,-0.271
1939,04,-0.106
1939,05,-0.031
1939,06,0.062
1939,07,0.047
1939,08,0.036
1939,09,-0.081
1939,10,-0.278
1939,11,-0.129
1939,12,0.229
1940,01,-0.192
1940,02,-0.043
1940,03,-0.119
1940,04,0.047
1940,05,0.019
1940,06,0.034
1940,07,0.145
1940,08,0.043
1940,09,0.122
1940,10,0.011
1940,11,-0.067
1940,12,0.161
1941,01,-0.092
1941,02,-0.017
1941,03,-0.136
1941,04,0.019
1941,05,-0.022
1941,06,0.119
1941,07,0.122
1941,08,0.024
1941,09,-0.135
1941,10,0.216
1941,11,0.051
1941,12,0.095
1942,01,0.206
1942,02,-0.088
1942,03,-0.090
1942,04,-0.065
1942,05,-0.019
1942,06,0.034
1942,07,-0.081
1942,08,-0.067
1942,09,0.002
1942,10,-0.084
1942,11,-0.066
1942,12,0.000
1943,01,-0.214
1943,02,0.068
1943,03,-0.204
1943,04,-0.003
1943,05,-0.018
1943,06,-0.096
1943,07,0.003
1943,08,-0.009
1943,09,-0.025
1943,10,0.229
1943,11,0.014
1943,12,0.191
1944,01,0.281
1944,02,0.125
1944,03,0.135
1944,04,0.046
1944,05,0.057
1944,06,0.152
1944,07,0.220
1944,08,0.236
1944,09,0.293
1944,10,0.209
1944,11,0.007
1944,12,-0.034
1945,01,-0.010
1945,02,-0.103
1945,03,-0.048
1945,04,0.168
1945,05,-0.108
1945,06,-0.003
1945,07,-0.084
1945,08,0.364
1945,09,0.161
1945,10,0.173
1945,11,-0.012
1945,12,-0.202
1946,01,0.096
1946,02,0.039
1946,03,-0.062
1946,04,0.139
1946,05,-0.110
1946,06,-0.255
1946,07,-0.043
1946,08,-0.147
1946,09,-0.015
1946,10,-0.052
1946,11,-0.094
1946,12,-0.361
1947,01,-0.113
1947,02,-0.174
1947,03,-0.064
1947,04,0.089
1947,05,-0.057
1947,06,0.004
1947,07,-0.003
1947,08,-0.040
1947,09,-0.068
1947,10,0.068
1947,11,0.047
1947,12,-0.175
1948,01,0.089
1948,02,-0.123
1948,03,-0.178
1948,04,-0.045
1948,05,0.101
1948,06,0.069
1948,07,-0.104
1948,08,-0.003
1948,09,-0.056
1948,10,0.022
1948,11,-0.059
1948,12,-0.198
1949,01,0.149
1949,02,-0.144
1949,03,-0.175
1949,04,0.004
1949,05,-0.053
1949,06,-0.184
1949,07,-0.099
1949,08,-0.042
1949,09,-0.079
1949,10,-0.034
1949,11,-0.081
1949,12,-0.190
1950,01,-0.318
1950,02,-0.250
1950,03,-0.181
1950,04,-0.173
1950,05,-0.094
1950,06,-0.076
1950,07,-0.044
1950,08,-0.120
1950,09,-0.106
1950,10,-0.129
1950,11,-0.391
1950,12,-0.250
1951,01,-0.354
